"time", "BouncingBall.h", "BouncingBall.v", "BouncingBall.der(h)", "BouncingBall.der(v)", "BouncingBall.ground"
0, 1, 0, 0, -9.81, 0
0.1, 0.955855, -0.981, -0.981, -9.81, 0
0.1, 0.955855, -0.981, -0.981, -9.81, 0
0.2, 0.81361, -1.962, -1.962, -9.81, 0
0.2, 0.81361, -1.962, -1.962, -9.81, 0
0.3, 0.573265, -2.943, -2.943, -9.81, 0
0.3, 0.573265, -2.943, -2.943, -9.81, 0
0.4, 0.23482, -3.924, -3.924, -9.81, 0
0.4, 0.23482, -3.924, -3.924, -9.81, 0
0.5, 0.1502578, 3.89457, 3.89457, -9.81, 0
0.5, 0.1502578, 3.89457, 3.89457, -9.81, 0
0.6, 0.4955698, 2.91357, 2.91357, -9.81, 0
0.6, 0.4955698, 2.91357, 2.91357, -9.81, 0
0.7, 0.7427818, 1.93257, 1.93257, -9.81, 0
0.7, 0.7427818, 1.93257, 1.93257, -9.81, 0
0.8, 0.8918938, 0.95157, 0.95157, -9.81, 0
0.8, 0.8918938, 0.95157, 0.95157, -9.81, 0
0.9, 0.9429058, -0.02943, -0.02943, -9.81, 0
0.9, 0.9429058, -0.02943, -0.02943, -9.81, 0
1, 0.8958178, -1.01043, -1.01043, -9.81, 0
1, 0.8958178, -1.01043, -1.01043, -9.81, 0
1.1, 0.7506298, -1.99143, -1.99143, -9.81, 0.1
1.1, 0.7506298, -1.99143, -1.99143, -9.81, 0.1
1.2, 0.5073418, -2.97243, -2.97243, -9.81, 0.1
1.2, 0.5073418, -2.97243, -2.97243, -9.81, 0.1
1.3, 0.1659538, -3.95343, -3.95343, -9.81, 0.1
1.3, 0.1659538, -3.95343, -3.95343, -9.81, 0.1
1.4, 0.37380808, 3.1573485, 3.1573485, -9.81, 0.1
1.4, 0.37380808, 3.1573485, 3.1573485, -9.81, 0.1
1.5, 0.64539793, 2.1763485, 2.1763485, -9.81, 0.1
1.5, 0.64539793, 2.1763485, 2.1763485, -9.81, 0.1
1.6, 0.81888778, 1.1953485, 1.1953485, -9.81, 0.1
1.6, 0.81888778, 1.1953485, 1.1953485, -9.81, 0.1
1.7, 0.89427763, 0.2143485, 0.2143485, -9.81, 0.1
1.7, 0.89427763, 0.2143485, 0.2143485, -9.81, 0.1
1.8, 0.87156748, -0.7666515, -0.7666515, -9.81, 0.1
1.8, 0.87156748, -0.7666515, -0.7666515, -9.81, 0.1
1.9, 0.75075733, -1.7476515, -1.7476515, -9.81, 0.1
1.9, 0.75075733, -1.7476515, -1.7476515, -9.81, 0.1
2, 0.53184718, -2.7286515, -2.7286515, -9.81, 0.2
2, 0.53184718, -2.7286515, -2.7286515, -9.81, 0.2
2.1, 0.21483703, -3.7096515, -3.7096515, -9.81, 0.2
2.1, 0.21483703, -3.7096515, -3.7096515, -9.81, 0.2
